English,Japanese,French,Spanish,Italian,Afrikaans,Arabic,Bulgarian,Czech,Welsh,Danish,German,Greek,Finnish,Hebrew,Hindi,Icelandic,Korean,Maori,Polish,Russian,Swedish,Thai,Turkish,Vietnamese,Chinese
ok,わかった,d'accord,OK,ok,ok,موافق,Добре,OK,iawn,Okay,OK,Εντάξει,hyvä,בסדר,ठीक है,Ok,좋아요,ok,ok,Ok,ok,ตกลง,tamam,Vâng,好的
take,取った,prendre,tomar,prendere,neem,يأخذ,предприеме,vzít,cymeran,tage,nehmen,παίρνω,ottaa,לקחת,लेना,Taktu,가져가다,whakuru,Brać,брать,ta,เอา,almak,cầm lấy,拿
an,an,un,un,un,'n,و,an,An,a,en,ein,ένα,yksi,AN,एक,An,an,he,jakiś,атмосфера,en,หนึ่ง,bir,một,一个
way,仕方,façon,camino,modo,pad,طريق,начин,způsob,ffordd,vej,Weg,τρόπος,tapa,דֶרֶך,मार्ग,leið,방법,arā,droga,путь,sätt,ทาง,yol,đường,方法
us,我ら,nous,a nosotros,noi,ons,نحن,нас,nás,ni,os,uns,μας,meille,לָנוּ,हम,BNA,우리를,māua,nas,нас,oss,เรา,biz,chúng ta,我们
little,少し,peu,poco,piccolo,klein,قليل,малко,málo,bach,lille,wenig,λίγο,vähän,קטן,थोड़ा,Lítið,작은,pakupaku,mały,маленький,liten,เล็กน้อย,biraz,nhỏ bé,小的
make,作る,Fabriquer,hacer,rendere,maak,صنع,направете,udělat,Creu,lave,machen,"φτιαχνω, κανω",tehdä,עשה,बनाना,gera,만들다,mahi,robić,делать,göra,ทำ,Yapmak,làm,制作
need,必要,besoin,necesitar,bisogno,behoefte,بحاجة إلى,трябва,potřeba,angen,brug for,brauchen,χρειάζομαι,tarve,צוֹרֶך,जरुरत,þörf,필요,hiahiatanga,potrzebować,необходимость,behöver,ความต้องการ,ihtiyaç,cần,需要
gonna,行くつもりです,va,ir a,andando,wat,سوف أفعل,ще,budu,gonna,vil,wird,θα,tahdissa,עומד ל,होने वाला,Ætla,할거야,gonna,zamierzać,собираюсь,kommer,จะ,yapacak,sẽ,要
never,一度もない,jamais,nunca,mai,nooit,أبداً,никога,nikdy,byth,aldrig,noch nie,ποτέ,ei milloinkaan,לעולם לא,कभी नहीँ,aldrei,절대,kore rawa,nigdy,никогда,aldrig,ไม่เคย,asla,không bao giờ,绝不
we're,そうだった,étaient,fueron,erano,was,كانوا,са били,Jsme,rydyn ni,Vi er,war,είμαστε,lyhennys muodosta 'wees',אנחנו,थे,Við erum,이었다,ko matou,byli,были,vi är,คือ,Biz,là,是
too,それも,aussi,también,anche,ook,جدا,също,také,hefyd,også,zu,πολύ,liian,גַם,बहुत,of,~도,hoki,także,слишком,för,ด้วย,fazla,cũng vậy,也
love,愛,aimer,amor,amore,liefde,الحب,любов,milovat,chari,kærlighed,Liebe,αγάπη,rakkaus,אהבה,प्यार,Ást,사랑,aroha,kocham,любовь,kärlek,รัก,aşk,yêu và quý,爱
she's,彼女は,elle est,Ella es,Lei è,sy is,هي,тя е,ona je,Mae hi,Det er hun,sie ist,αυτή είναι,hän on,היא,वह है,hún,그녀는,Ko ia,Ona jest,она,hon är,เธอ,O,Cô ấy,她是
I've,私は,J'ai,He,Io ho,Ek het,لدي,Аз съм,Já,Gyda,Jeg har,Ich habe,Εγώ έχω,Lyhennys ',יש לי,मैंने,ég hef,나는,No ahau,Ja,Я,Jag,ฉัน,ben sahibim,tôi có,我有
sure,承知しました,Bien sur,Por supuesto,sicuro,seker,بالتأكيد,сигурен,Tak určitě,sicr,jo da,sicher,σίγουρος,varma,בטוח,ज़रूर,Jú,확실한,mōhio tūturu,Jasne,Конечно,Säker,แน่นอน,Elbette,chắc chắn rồi,当然
them,彼ら,leur,a ellos,loro,hulle,هم,тях,jim,nhw,dem,Sie,τους,niitä,אוֹתָם,उन्हें,þá,그들을,rāua,ich,их,dem,พวกเขา,onlara,họ,他们
more,もっと,Suite,más,Di più,meer,أكثر,Повече ▼,více,mwy,mere,mehr,περισσότερο,lisää,יותר,अधिक,Meira,더,ētahi atu,jeszcze,более,Mer,มากกว่า,daha fazla,hơn,更多的
over,以上,plus de,sobre,Sopra,oor,خلال,над,přes,ar ei ben,over,Über,πάνω από,yli,על,ऊपर,Yfir,~ 위에,runga,koniec,над,över,เกิน,üzerinde,kết thúc,超过
our,私たちの,notre,nuestro,i nostri,ons,ملكنا,нашите,náš,ein,vores,unser,μας,meidän,שֶׁלָנוּ,हमारी,Okkar,우리의,ā tātou,nasz,наш,vår,ของเรา,bizim,của chúng tôi,我们的
sorry,ごめん,Pardon,perdón,spiacente,jammer,آسف,Извинете,Promiňte,flin,undskyld,Verzeihung,συγνώμη,pahoillani,מצטער,माफ़ करना,Því miður,죄송합니다,rongo,przepraszam,Извините,förlåt,ขอโทษ,Üzgünüm,lấy làm tiếc,对不起
where,どこ,où,dónde,dove,waar,أين,където,kde,ble,hvor,wo,όπου,missä,איפה,कहाँ पे,hvar,어디,kai whea,gdzie,куда,var,ที่ไหน,nerede,ở đâu,在哪里
what's,何ですか,qu'est-ce que,qué,Cosa,wat is,ما هى,Какво е,Co je,Beth yw,Hvad er der,Was ist,τι,lyhennys muodosta 'what woul',מה זה,क्या है,hvað er,뭐야,he aha,Co jest,Что,vad är,อะไร,Ne,Cái gì,什么是
let,させて,laisser,dejar,permettere,verhuur,يترك,позволявам,nechat,gadawn,lade,Lassen,αφήνω,päästää,תן,होने देना,Láttu,허락하다,tuku,wynajmować,позволять,låta,อนุญาต,İzin Vermek,để cho,让
thing,もの,chose,cosa,cosa,ding,شيء,нещо,věc,peth,ting,Ding,πράγμα,asia,דָבָר,चीज़,hlutur,물건,mea,rzecz,вещь,sak,สิ่ง,şey,Điều,事物
am,午前,un m,soy,sono,is,صباحا,съм,dopoledne,yn,er,bin,είμαι,olen,"ארה""ב",पूर्वाह्न,Am,~이다,wai au,jestem  ,являюсь,Jag är,เป็น,Ben,là,是
maybe,多分,peut être,quizás,può essere,kan wees,يمكن,може би,možná,Efallai,måske,kann sein,μπορεί,voi olla,אולי,शायद,Kannski,아마도,tērā pea,być może,может быть,kanske,อาจจะ,belki,có lẽ,也许
down,下,vers le bas,abajo,fuori uso,af,أسفل,надолу,dolů,i lawr,ned,Nieder,κάτω,alas,מטה,नीचे,niður,아래에,iho,na dół,вниз,ner,ลง,aşağı,xuống,下
man,男,homme,hombre,uomo,man,رجل,Човек,muž,dyn,mand,Mann,άνδρας,mies,איש,आदमी,Maður,남성,tāne,facet,человек,man,ชาย,adam,Đàn ông,男人
has,もっている,a,posee,ha,het,لديها,има,má,wedi,har,hat,έχω,haastaa,יש ל,है,hefur,가지다,kei a,ma,имеет,har,มี,sahip olmak,có,有
uh,ええと,euh,oh,uh,uh,أوه,Ъъъ,Uh,uh,åh,äh,εχ.,uh,אה,उह,uh,음,ihu,Uh,Эм-м-м,uh,เอ่อ,uh,uh,嗯
very,とても,très,muy,molto,baie,جداً,много,velmi,iawn,meget,sehr,πολύ,erittäin,מאוד,बहुत,mjög,매우,tino,bardzo,очень,mycket,มาก,çok,rất,非常
by,に,par,por,di,per,بواسطة,от,podle,gan,ved,durch,με,ohella,על ידי,द्वारा,við,~에 의해,e,za pomocą,по,förbi,โดย,ile,qua,经过
there's,あります,il y a,hay,c'è,daar is,هناك,Има,je tu,Mae,Der er,Es gibt,υπάρχει,siellä on,יש,वहाँ है,það er,거기 있습니다,Kei reira,jest,есть,det finns,มี,var,Có,有
should,したほうがいい,devrait,debería,dovrebbe,behoort,ينبغي,Трябва,by měl,ni,skulle gerne,sollte,πρέπει,pitäisi,צריך,चाहिए,Ætti,~해야 한다,me,powinien,должен,skall,ควร,meli,Nên,应该
anything,なんでも,n'importe quoi,cualquier cosa,qualsiasi cosa,enigiets,اى شئ,всичко,cokoliv,unrhyw beth,hvad som helst,irgendetwas,Οτιδήποτε,mitä tahansa,כל דבר,कुछ भी,hvað sem er,아무것,aha anō,byle co,что-либо,något,อะไรก็ตาม,herhangi bir şey,bất cứ điều gì,任何事物
said,言った,a dit,dijo,disse,gesê,قال,казах,řekl,Dywedodd,sagde,sagte,είπε,sanottu,אמר,कहा,Sagði,말했다,kī,powiedział,сказал,nämnda,กล่าวว่า,söz konusu,nói,说
much,多くの,beaucoup,mucho,tanto,veel,كثير,много,hodně,llawer,meget,viel,πολύ,paljon,הַרבֵּה,अधिकता,mikið,많이,nuinga,dużo,много,mycket,มาก,fazla,nhiều,很多
any,どれか,n'importe quel,ningún,qualunque,enige,أي,всеки,žádný,unrhyw,nogen,irgendein,όποιος,minkä tahansa,כל,कोई,Einhver,어느,tētahi,każdy,Любые,några,ใดๆ,hiç,không tí nào,任何
life,生活,la vie,vida,vita,lewe,الحياة,живот,život,bywydau,liv,Leben,ΖΩΗ,elinaika,חַיִים,जिंदगी,líf,삶,ora,życie,жизнь,liv,ชีวิต,hayat,đời sống,生活
even,平,même,incluso,anche,selfs,حتى,дори,dokonce,hyd yn oed,også selvom,eben,ακόμη και,jopa,אֲפִילוּ,यहाँ तक की,jafnvel,조차,ahakoa,nawet,даже,även,สม่ำเสมอ,Bile,thậm chí,甚至
off,オフ,à l'arrêt,apagado,spento,af,إيقاف,изключване,vypnuto,i ffwrdd,af,aus,μακριά από,vinossa,כבוי,बंद,af,끄다,meinga iho,wyłączony,выключенный,av,ปิด,kapalı,tắt,离开
please,お願いします,s'il vous plaît,por favor,per favore,plesier,من فضلك,Моля те,prosím,plesia ’,Vær venlig,bitte,σας παρακαλούμε,ole kiltti,אנא,कृपया,Vinsamlegast,제발,koa,Proszę,пожалуйста,snälla du,โปรด,lütfen,làm ơn,请
doing,やっている,Faire,haciendo,facendo,doen,عمل,правене,dělá,gwneud,gør,tun,πράξη,tekeminen,מַעֲשֶׂה,करते हुए,að gera,행위,mahi,czyn,делает,håller på med,ทำ,yapmak,đang làm,正在做
thank,感謝,remercier,gracias,Grazie,bedank,شكر,Благодаря,poděkovat,ddiolcho,takke,danken,ευχαριστώ,kiittää,להודות,धन्यवाद देना,Þakka,감사하다,mihi,dziękować,благодарить,tacka,ขอบคุณ,teşekkür,cảm tạ,感谢
give,与える,donner,dar,dare,gee,يعطى,дайте,dát,rho,give,geben,δίνω,antaa,לָתֵת,देना,Gefðu,주다,hoatu,dawać,дайте,ge,ให้,vermek,cho,给
only,それだけ,seulement,solamente,solo,enigste,فقط,само,pouze,dim ond,kun,nur,μόνο,vain,רק,केवल,aðeins,뿐,anake,tylko,Только,endast,เท่านั้น,sadece,chỉ có,只要
thought,考え,pensait,pensamiento,pensiero,gedink,يفكر,мисъл,myslel,feddylion,tanke,Gedanke,σκέψη,ajatus,מַחֲשָׁבָה,सोच,Hugsun,생각,whakaaro,myśl,мысль,trodde,คิด,düşünce,tư tưởng,想法
help,ヘルプ,aider,ayuda,aiuto,help,يساعد,помогне,Pomoc,cynorthwyith,Hjælp,Hilfe,βοήθεια,auta,עֶזרָה,मदद करना,Hjálp,돕다,āwhina,Wsparcie,помощь,hjälp,ช่วย,Yardım Edin,Cứu giúp,帮助
two,2,deux,dos,Due,twee,اثنين,две,dva,dwy,to,zwei,δύο,kaksi,שתיים,दो,tvö,둘,rua,dwa,два,två,สอง,iki,hai,二
talk,話,parler,hablar,parlare,praat,حديث,говоря,mluvit,sgwrsia ’,tale,sich unterhalten,ΜΙΛΑ ρε,puhua,דבר,बात करना,tala,말하다,kōrero,rozmowa,разговаривать,prata,พูดคุย,konuşmak,nói chuyện,讲话
people,人,personnes,gente,le persone,mense,اشخاص,хора,lidé,pobl,mennesker,Personen,Ανθρωποι,ihmiset,אֲנָשִׁים,लोग,fólk,사람들,iwi,ludzie,люди,människor,ผู้คน,insanlar,Mọi người,人们
god,神様,dieu,dios,Dio,God,الله,Бог,Bůh,duw,Gud,Gott,θεός,Jumala,אלוהים,परमेश्वर,Guð,하느님,atua,bóg,Бог,Gud,พระเจ้า,tanrı,Chúa Trời,上帝
still,まだ,toujours,todavía,ancora,steeds,ساكن,все още,ještě pořád,llonyddaf,Stadig,still,ακόμη,edelleen,עוֹד,फिर भी,Enn,아직,aupaki,nadal,Все еще,fortfarande,นิ่ง,hâlâ,còn,仍然
wait,待つ,Attendez,Espere,aspettare,wag,انتظر,изчакайте,Počkejte,hoedem,vente,Warten,Περίμενε,odota,לַחֲכוֹת,रुको,Bíddu,기다리다,tatari,czekać,ждать,vänta,รอ,Bekle,Chờ đã,等待
into,の中へ,dans,dentro,in,in,داخل,в,do,i mewn,ind i,hinein,σε,luona,לְתוֹך,में,inn í,~ 안으로,ki,w,в,in i,เข้าไปข้างใน,içine,vào trong,进入
find,探す,trouver,encontrar,trova,vind,تجد,намирам,nalézt,ffeindia,finde,finden,εύρημα,löytö,למצוא,पाना,Finndu,찾기,kite,odnaleźć,найти,hitta,หา,bulmak,tìm thấy,寻找
nothing,なし,rien,nada,niente,niks,ولا شيء,Нищо,nic,dim byd,ikke noget,nichts,τίποτα,ei mitään,שום דבר,कुछ नहीं,ekkert,아무것도 아님,kāore he aha,nic,ничего такого,ingenting,ไม่มีอะไร,hiç bir şey,Không có gì,没有什么
again,また,encore,otra vez,ancora,weer,تكرارا,отново,znovu,eto,igen,wieder,πάλι,uudelleen,שוב,फिर से,aftur,다시,anō,ponownie,опять таки,om igen,อีกครั้ง,Yeniden,lại,再次
things,もの,des choses,cosas,le cose,dinge,أشياء,неща,věci,pethau,ting,Dinge,πράγματα,asia,דברים,चीज़ें,hlutir,것들,mea,rzeczy,вещи,saker,สิ่งของ,şeyler,nhiều thứ,事物
let's,しましょう,faisons,vamos,Leggiamo,Laat ons,دعونا,Нека да,Pojďme,gadewch i ni,Lad os,Lasst uns,ας,Katsotaanpa,בואו,के जाने,Við skulum,하자,kia tatou,Let,Давайте,låt oss,มา,Haydi,hãy,让我们
doesn't,そうではありません,n'a pas,no,no,nie,لا,не,ne,nid yw,gør det ikke,nicht,δεν είναι,lyhennys muodosta 'doid not,לא,नहीं है,Ekki,그렇지 않습니다,e kore,nie,не,inte,ไม่,değil,Không,不
call,電話,appel,llamar,chiamata,oproep,مكالمة,повикване,volání,alwa ’,opkald,Anruf,κλήση,soittaa puhelimella,שִׂיחָה,बुलाना,Hringdu,전화,waeatanga,połączenie,вызов,ringa upp,เรียก,aramak,cuộc gọi,称呼
told,言った,Raconté,dicho,detto,vertel,أخبر,казано,řekl,wedi dweud,fortalte,gesagt,ερεθής,käski,אמר,कहा,sagði,말했다,korerotia ana,powiedział,сказал,berättade,บอก,söylenmiş,kể lại,告诉
great,すごい,génial,estupendo,grande,groot,رائعة,страхотен,skvělý,mawr,store,Großartig,μεγάλος,loistava,גדול,महान,frábært,엄청난,nui,Świetnie,большой,bra,ยอดเยี่ยม,İyi,Tuyệt,伟大的
before,前,avant de,antes de,prima,voordat,قبل,преди,před,ger ei bron,Før,Vor,πριν,ennen,לפני,इससे पहले,áður,~ 전에,i mua,zanim,до,innan,ก่อน,önceki,trước,前
better,より良い,meilleur,mejor,meglio,beter,أفضل,По-добре,lepší,well,bedre,besser,καλύτερα,paremmin,טוב יותר,बेहतर,Betri,더 나은,pai ake,lepiej,лучше,bättre,ดีกว่า,daha iyi,tốt hơn,更好的
ever,これまで,déjà,alguna vez,mai,altyd,أي وقت مضى,някога,vůbec,erwed,nogensinde,je,πάντα,koskaan,אֵיִ פַּעַם,कभी,Alltaf,항상,tonu,zawsze,Когда-либо,någonsin,เคย,durmadan,bao giờ,曾经
night,夜,nuit,noche,notte,nag,ليل,нощ,noc,nos,nat,Nacht,Νύχτα,yö-,לַיְלָה,रात,nótt,밤,pō,noc,ночь,natt,กลางคืน,gece,đêm,夜晚
than,よりも,que,que,di,as,من,отколкото,než,na,end,als,από,kuin,מאשר,बजाय,en,~보다,i,niż,чем,än,กว่า,hariç,hơn,比
away,あちらへ,une façon,lejos,lontano,weg,بعيد,далеч,pryč,i'r,væk,ein Weg,Μακριά,pois,רָחוֹק,दूर,burt,떨어져 있는,atu,z dala,прочь,bort,ห่างออกไป,uzak,xa,离开
first,最初,première,primero,primo,eerste,أول,първо,První,yn gyntaf,først,Erste,πρώτα,ensimmäinen,ראשון,पहला,Fyrsta,첫 번째,tuatahi,pierwszy,первый,först,แรก,ilk,Đầu tiên,第一的
believe,信じる,croire,creer,ritenere,glo,يصدق,вярвам,věřit,chredent,tro på,glauben,πιστεύω,uskoa,לְהֶאֱמִין,मानना,Trúa,믿다,whakapono,uważać,полагать,tro,เชื่อ,inanmak,tin,相信
other,他の,autre,otro,Altro,ander,آخر,други,jiný,arall,Andet,Sonstiges,άλλα,muut,אַחֵר,अन्य,annað,다른,ētahi atu,inny,Другой,Övrig,อื่นๆ,başka,khác,其他
feel,感じられる,se sentir,sentir,tatto,voel,يشعر,Усещам,cítit,theimlwch,føle,Gefühl,αφή,tuntua,להרגיש,अनुभव करना,Finn,느끼다,rongo,czuć,Чувствовать,känna,รู้สึก,hissetmek,cảm thấy,感觉
everything,すべての,tout,todo,Tutto quanto,alles,كل شىء,всичко,všechno,popeth,alt,alles,τα παντα,kaikki,הכל,हर चीज़,allt,모든 것,mea katoa,wszystko,все,allt,ทุกอย่าง,her şey,mọi điều,一切
work,仕事,travailler,trabajar,opera,werk,الشغل,работа,práce,weithion,arbejde,Arbeit,δουλειά,työ,עֲבוֹדָה,काम,Vinna,일하다,mahi,praca,Работа,arbete,งาน,iş,công việc,工作
you've,あなたは,vous avez,tienes,hai,jy,لديك,ти си,Ty,rydych chi,Du har,du hast,έχεις,lyhennys muodosta 'You You,יש לך,आपने,Þú ert,당신은,ko koe,ty,Вы,du har,คุณ,Sen,Bạn,你
fine,大丈夫,bien,multa,bene,fyn,بخير,глоба,pokuta,ddirwyed,bøde,fein,πρόστιμο,hieno,בסדר גמור,ठीक,Fínt,좋아,tōrire,Cienki,отлично,bra,ก็ได้,iyi,khỏe,美好的
home,家,domicile,hogar,casa,tuiste,الصفحة الرئيسية,У дома,Domov,nghartrefi,hjem,Heimat,Σπίτι,Koti,בית,घर,heim,집,kāinga,Dom,дом,Hem,บ้าน,ev,Trang Chủ,家
after,後,après,después,dopo,nadat,بعد، بعدما,след,po,wedi,efter,nach,μετά,jälkeen,לאחר,बाद में,eftir,~ 후에,i muri,po,после,efter,หลังจาก,sonrasında,sau,后
last,過去,dernière,ultimo,Ultimo,laaste,الاخير,Последно,poslední,parhawn,sidst,letzte,τελευταίος,kestää,אחרון,अंतिम,síðast,마지막,mātāmuri,ostatni,последний,sista,ล่าสุด,geçen,Cuối cùng,最后的
these,これらは,ces,estas,queste,die,هؤلاء,тези,tyto,rhain,Disse,diese,αυτά τα,nämä,אלה,इन,Þessir,이것들,ēnei,te,эти,dessa,เหล่านี้,bunlar,này,这些
day,日,journée,día,giorno,dag,يوم,ден,den,Dydd,dag,Tag,ημέρα,päivä,יְוֹם,दिन,dagur,낮,rangi,dzień,день,dag,วัน,gün,ngày,天
keep,保つ,donjon,mantener,mantenere,hou,احتفظ,пазя,držet,cadwch,holde,behalten,διατήρηση,pitää,לִשְׁמוֹר,रखना,Haltu,유지하다,puri,trzymać,хранить,ha kvar,เก็บไว้,Tut,giữ cho,保持
does,します,Est-ce que,lo hace,fa,doen,يفعل,прави,ano,diau,gør,tut,κάνει,tekee,כן,करता है,gerir,하다,kei te mahi,czy,делает,göra,ทำ,yapmak,làm,做
put,置く,mettre,poner,mettere,set,وضع,слагам,dát,rhoiff,sætte,stellen,βάζω,laittaa,לָשִׂים,रखना,Settu,놓다,waiho,położyć,помещать,sätta,ใส่,koy,đặt,放
around,その周り,autour de,alrededor,intorno a,in die omtrek,حول,наоколо,kolem,o gwmpas,rundt om,um,περίπου,noin,סְבִיב,चारों ओर,í kring,주위에,huri noa,na około,около,runt om,รอบๆ,etrafında,vòng quanh,大约
stop,止まる,arrêt,deténgase,fermare,stop,قف,Спри се,stop,arhoswch,hold op,Pause,να σταματήσει,lopettaa,תפסיק,विराम,Hættu,멈추다,puru,Zatrzymaj się,остановка,sluta,หยุด,Dur,dừng lại,停止
they're,彼らはそうです,ils sont,ellos son,Loro sono,Hulle is,هم,те са,jsou,maen nhw,De er,Sie sind,είναι,he ovat,הם,वे,Þeir eru,그것들입니다,ratou,Oni,они,de är,พวกเขา,onlar,Họ,他们是
I'd,私は,Identifiant,Identificación,Id,Wil,هوية شخصية,Документ за самоличност,Já,Byddwn i,Jeg ville,Ausweis,Ταυτότητα,Lyhennys muodosta 'would',תְעוּדַת זֶהוּת,पहचान,Ég myndi,ID,Ko ahau,ID,Идентификатор,Jag,ฉัน,İD,ID,ID
guy,男,mec,tipo,tipo,ou,شاب,Момче,chlap,boi,Fyr,Kerl,ο τύπος,kaveri,בָּחוּר,लोग,Gaur,남자,tangata,facet,парень,kille,ผู้ชาย,insan,chàng,伙计
long,長いです,long,largo,lungo,lank,طويل,дълго,dlouho,hiraethasit,lang,lang,μακρύς,pitkä,ארוך,लंबा,Langt,긴,roa,długie,длинная,lång,ยาว,uzun,Dài,长
isn't,そうではありません,not,no es,non è,is dit nie,ليس,не е така,není,nid yw,Er det ikke,nicht,δεν είναι,lyhennys muodosta 'not',לא,नहीं है,Er ekki,그렇지 않습니다,e kore e,nie jest,не,är inte,ไม่ใช่,değil,Không phải,不是
always,いつも,toujours,siempre,sempre,altyd,دائماً,винаги,vždy,bob amser,altid,stets,πάντα,aina,תמיד,हमेशा,Alltaf,언제나,i ngā wā katoa,zawsze,всегда,alltid,เสมอ,Her zaman,luôn luôn,总是
listen,聞く,Ecoutez,escuchar,ascoltare,luister,استمع,слушам,poslouchat,gwrandewch,Lyt,Hören,ακούω,kuunnella,להקשיב,सुनना,Hlustaðu,듣다,whakarongo,słuchać,Слушать,lyssna,ฟัง,dinlemek,nghe,听
wanted,欲しかった,recherché,querido,ricercato,verlang,مطلوب,издирва се,chtěl,eisiau,ønskede,gesucht,καταζητούμενος,halutto,מבוקש,चाहता था,Vildi,원해,hiahia,poszukiwany,хотел,efterlyst,ต้องการ,aranan,truy nã,通缉
Mr.,氏,M.,Señor.,Sig.,Mnr.,السيد.,Г-н.,Pan.,Mr.,Hr.,Herr.,Κύριος.,Herra.,אדון.,श्री।,Herra.,씨.,M a Mr.,Pan.,Г-н.,Herr.,นาย.,Bay.,Ông.,先生。
guys,彼ら,les mecs,tipo,ragazzi,ouens,رفاق,Момчета,kluci,GUYS,fyre,Leute,παιδιά,kaverit,חבר'ה,दोस्तो,Krakkar,얘들아,Kei Guys,chłopaki,ребята,killar,พวก,çocuklar,Các bạn,伙计们
huh,は,hein,¿eh?,eh,hef,هاه,Ами,Huh,huh,Huh,Huh,εμένα,huhu,הא,हुह,ha,뭐,huh,Huh,хм,va,ฮะ,Ha,Huh,嗯
those,それらの,ceux,aquellos,quelli,daardie,أولئك,тези,ty,rheini,de der,diese,εκείνοι,nuo,הָהֵן,वे,þeir,저것들,ēna,tych,те,de där,เหล่านั้น,şunlar,những thứ kia,那些